date,open,high,low,close,volume
1521417600000.0,8189.0,9177.01,8470.15,8088.4,285211.539511
1522022400000.0,8470.14,8514.89,6813.01,6430.0,308729.492031
1522627200000.0,6813.01,7520.0,7018.0,6500.0,232320.070499
1523232000000.0,7011.04,8429.54,8355.0,6611.0,259877.022414
1523836800000.0,8355.07,9035.0,8787.02,7825.4,233025.38619
1524441600000.0,8785.7,9759.82,9419.0,8651.62,306668.07214
1525046400000.0,9417.04,10020.0,9659.01,8800.49,222274.38854
1525651200000.0,9661.02,9689.67,8679.71,8153.0,224151.298751
1526256000000.0,8679.71,8879.99,8526.98,7911.9,182713.826012
1526860800000.0,8526.97,8595.31,7338.99,7231.11,190894.600939
1527465600000.0,7338.99,7786.69,7714.26,7032.95,211929.270766
1528070400000.0,7714.26,7765.0,6764.99,6622.81,211352.737478
1528675200000.0,6765.0,6922.0,6449.61,6118.68,234080.841171
1529280000000.0,6444.06,6841.74,6136.97,5750.0,234147.621015
1529884800000.0,6137.95,6528.99,6356.81,5780.0,207746.559006
1530489600000.0,6360.82,6818.16,6712.1,6271.62,211526.019058
1531094400000.0,6712.1,6802.06,6353.01,6070.0,192452.84988
1531699200000.0,6354.15,7700.0,7394.79,6330.4,294313.222604
1532304000000.0,7394.78,8491.77,8211.0,7375.0,288666.047141
1532908800000.0,8210.99,8273.0,7024.19,6882.29,282090.103584
1533513600000.0,7024.19,7160.0,6308.33,5971.0,334426.550743
1534118400000.0,6308.56,6620.0,6477.53,5880.0,378189.296487
1534723200000.0,6477.53,6882.54,6700.0,6220.0,286906.539311
1535328000000.0,6700.0,7345.45,7302.01,6646.5,294674.913005
1535932800000.0,7302.0,7410.0,6250.81,6111.0,306231.623424
1536537600000.0,6252.26,6584.99,6505.0,6169.68,227428.182854
1537142400000.0,6500.08,6839.03,6708.0,6123.0,244256.490121
1537747200000.0,6706.81,6814.8,6626.57,6325.02,242598.872471
1538352000000.0,6626.57,6697.0,6615.26,6430.0,141836.476483
1538956800000.0,6615.26,6715.6,6339.34,6205.0,166310.813544
1539561600000.0,6339.34,7680.0,6590.11,6300.0,211592.623139
1540166400000.0,6590.12,6639.0,6489.93,6453.0,75328.885385
1540771200000.0,6489.93,6525.0,6485.85,6245.02,71945.400607
1541376000000.0,6485.85,6615.15,6449.81,6355.0,76161.78188
1541980800000.0,6450.71,6498.0,5662.0,5403.42,205081.183938
1542585600000.0,5661.94,5664.0,4085.78,3652.66,496323.79998
1543190400000.0,4088.69,4450.38,4161.01,3689.12,479458.799151
1543795200000.0,4160.55,4179.0,3545.37,3222.0,406435.817854
1544400000000.0,3548.49,3610.0,3228.67,3156.26,249791.790787
1545004800000.0,3229.22,4139.99,3929.71,3216.0,489096.276467
1545609600000.0,3929.71,4198.0,3801.91,3535.0,332161.255442
1546214400000.0,3803.12,4027.71,3987.6,3630.33,214860.906242
1546819200000.0,3987.62,4069.8,3476.81,3441.3,245887.277948
1547424000000.0,3477.56,3720.0,3539.28,3467.02,199395.792965
1548028800000.0,3539.26,3662.94,3550.84,3434.85,154566.450861
1548633600000.0,3550.05,3557.75,3458.11,3349.92,186574.105423
1549238400000.0,3458.11,3733.58,3680.06,3373.1,198350.673988
1549843200000.0,3679.75,3700.11,3667.58,3568.11,167995.805139
1550448000000.0,3667.62,4198.0,3743.56,3655.0,301384.22226
1551052800000.0,3743.56,3888.0,3807.75,3677.17,190343.246726
1551657600000.0,3807.32,3971.75,3916.82,3670.69,207833.42997
1552262400000.0,3915.99,4056.98,3981.14,3810.43,185620.344813
1552867200000.0,3981.85,4069.32,3992.18,3880.01,156283.263483
1553472000000.0,3991.35,4140.0,4103.95,3888.71,178114.875049
1554076800000.0,4102.44,5275.01,5170.27,4067.0,420989.968738
1554681600000.0,5170.27,5422.0,5131.3,4861.22,247866.407405
1555286400000.0,5131.28,5333.42,5256.14,4950.0,168555.911745
1555891200000.0,5257.41,5600.0,5307.52,5102.0,247392.823904
1556496000000.0,5309.81,5900.0,5775.62,5178.8,191971.589975
1557100800000.0,5773.18,7521.78,6967.31,5619.14,313283.734225
1557705600000.0,6968.24,8366.0,8148.48,6870.0,461287.694139
1558310400000.0,8147.94,8740.0,8614.43,7461.0,341677.39881
1558915200000.0,8612.54,9074.26,8725.98,8005.0,292049.043812
1559520000000.0,8726.0,8800.95,7628.13,7444.58,293308.709696
1560124800000.0,7627.57,9333.0,8953.33,7511.0,274072.058371
1560729600000.0,8953.0,11392.64,10906.07,8950.0,378253.003065
1561334400000.0,10905.95,13970.0,10854.1,10525.1,684152.508772
1561939200000.0,10854.1,12000.0,11406.24,9727.0,517740.071693
1562544000000.0,11410.0,13147.08,10174.18,10103.0,510462.035678
1563148800000.0,10174.18,11100.0,10589.45,9060.0,487080.97263
1563753600000.0,10590.15,10683.16,9541.54,9165.0,269819.325109
1564358400000.0,9541.54,11040.0,10929.23,9395.0,259518.806019
1564963200000.0,10929.99,12330.7,11549.97,10927.8,371072.857661
1565568000000.0,11539.08,11577.89,10306.78,9750.0,248273.374665
1566172800000.0,10306.17,10949.96,10142.69,9762.0,232472.053331
1566777600000.0,10142.69,10604.0,9724.98,9320.0,211243.550288
1567382400000.0,9723.59,10905.87,10381.18,9712.5,281075.664908
1567987200000.0,10381.24,10480.0,10302.01,9880.0,207165.654458
1568592000000.0,10303.34,10355.0,10028.87,9653.0,188644.199623
1569196800000.0,10028.05,10049.99,8043.82,7750.0,364560.064744
1569801600000.0,8043.04,8500.0,7854.25,7710.0,239129.62607
1570406400000.0,7855.3,8779.51,8275.01,7762.0,281416.738734
1571011200000.0,8275.24,8403.0,8223.35,7816.01,219241.792311
1571616000000.0,8223.35,8333.0,7426.43,7300.0,162697.96242
